Unnamed: 0,ID,label_odm,train_val_predict,src,URL
578,12219,,predict_need,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/512_0004CL0D.png
579,12212,,predict_need,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/520_0004CL0D.png
580,12201,,predict_need,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/534_0005CL0D.png
581,12200,,predict_need,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/536_0006CL0D.png
582,12195,,predict_need,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/542_0003CL0D.png
583,12194,,predict_need,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/543_0001CR0D.png
584,12163,,predict_need,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/579_0003CL0D.png
585,12162,,predict_need,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/581_0003CL0D.png
586,12156,,predict_need,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/589_0003CL0D.png
587,12155,,predict_need,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/590_0001CR0D.png
588,12790,,predict_need,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0036.jpg
589,12788,,predict_need,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0038.jpg
590,12787,,predict_need,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0039.jpg
591,12753,,predict_need,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0080.jpg
592,12750,,predict_need,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0083.jpg
593,12746,,predict_need,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0087.jpg
594,12741,,predict_need,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0093.jpg
595,12731,,predict_need,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0105.jpg
596,12726,,predict_need,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0113.jpg
597,12725,,predict_need,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0114.jpg
598,12724,,predict_need,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0115.jpg
599,12717,,predict_need,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0125.jpg
600,12715,,predict_need,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0127.jpg
601,12714,,predict_need,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0128.jpg
602,12713,,predict_need,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0129.jpg
603,12712,,predict_need,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0130.jpg
604,12711,,predict_need,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0131.jpg
605,12710,,predict_need,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0132.jpg
606,12709,,predict_need,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0133.jpg
607,12706,,predict_need,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0136.jpg
608,12705,,predict_need,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0137.jpg
